concept;turkic;iranian
tail;kʉjrɔq / kʉjrʊq / kʉjrɨq / kʉjrʊq / kʉjrɜq / kʉjrɔq / kʉjrɔq / qyjrœq / qyjrɔq / qyjrɔq / kyjrɔq / qʉjruq / qʉjruq / qujruq / qujruq / qujruq / kujruk / qujruq / qujruq / qujruq / qʉjruq / qʉjruq / dym / kujruk / qʉjruq / qʉjrɔq / qʉjrɔq / qʉjrɔq / qyjrɔq / qʉjrɔq / dʉm / qyjrɔq / qʉjrɔq / qʉjrɔq / qʉjrɔq / qʉjrɔq / qyjrɔq / qyjrɔq / qʉjrɔq / dum / dʉm / dʉm / dʉm / dʉm / dʉm / dm̩ / dʉm / dum / dum / ;dʊm / dum / dum / dum / dum / døm / dum / dʊm / dʊm / dm̩ / dm̩ / dum / dm̩ / dʊm / dʊm / dm̩ / dm̩ / dum / dum / dm̩ / dʊm / dʊm / dym / dym / døm / dm̩ / dm̩ / dm̩ / dʊm / dm̩ / dm̩ / dm̩ / dum / dum / dim / dum / dʉm / dim / dim / 
feather;qanat / qanat / pɪrʊ /  / mamɔq / qanat /  / pɛr / pɛr / qawɔrsɨn / ʒɪm / qanat / qanat / qanat / qanat / qanat / qanat / qanat / pər / qanat / pat / pat / pat / pat / qanat / pær / par / pær / par / par / par / pɛr / pær / pær / pær / par / pær / pær / par /  / pat / pat / pat / pat / pat / pat / par / qanɔt / pat / ;par̯ / pat / pat / pʲero / par / par / pat /  / pat / pat / par / par / qanɔt / par / par / par / par / paʃ / par / par / par / par / par / pat / par / par / par / par / par /  / par /  / par / pat / qanat / par / par / par /  / 
hair;ʃaʃ / ʃaʃ / ʃaʃ / ʃaʃ / ʃaʃ / ʃaʃ / ʃaʃ / ʃaʃ / ʃaʃ / ʃaʃ / ʧas / ʧaʧ / ʧaʧ / ʧaʧ / ʧaʧ / ʧaʧ / ʧaʧ / ʧaʧ / ʧaʧ / ʧaʧ / ʧaʧ / ʧaʧ / ʧaʧ / ʧaʧ / ʧaʧ / ʃaʃ / ʃaʃ / ʃaʃ / sas / ʃaʃ / saʃ / ʃaʃ / ʃaʃ / ʃaʃ / ʃaʃ / ʃaʃ / ʧaʧ / ʧaʧ / ʧaʃ / sɔʧ / sɔʧ / sɒʧ / ʃɔʧ / sɔʧ / sɔʧ / sɔʧ / sɔʧ / sɔʧ / sɔʧ / ;muj / møj / møj / mø / møhɔ / mʊ / muj / mu / qil / muh / muj / muj / mu / mu / mujhɔ / mʊ / mʊˑ / mʉj / mʉj / mʊj / mʊj / mʊ / muː / muː / mu / mɔj / mʊj / mʊj / mʊj / mʊj / mʊj / mʊ / mʉj / mʉj / paʃm̩ / darav / diraβ / dɪraw / dɪraβ / 
head;bas / bas / bas / bas / bas / bas / bas / bas / bas / bas / bas / baʃ / baʃ / baʃ / baʃ / baʃ / baʃ / baʃ / baʃ / baʃ / bɒʃ / bɒʃ / baʃ / bɒʃ / baʃ / bas / bas / bas / bas / bas / bas / bas / bas / bas / bas / bas / baʃ / baʃ / baʃ / bɔʃʲ / bɒʃ / bɔʃ / bɔʃ / bɔʃ / bɔʃ / bɔʃ / kalla / bɔʃ / bɔʃ / ;sar / sar / kalla / kalla / sar / sar / sar / kalla / kalla / kalla / sar / sar / sar / sar / sar / sar / sar / sar / kalla / sar / sar / sar / sar / sar / kalla / sar / sar / sar / kalla / sar / kalla / kalla / kalla / sar / sar / sar / sar / sar / sar / 
ear;qʊlɒq / qʊlaq / qʊlaq / qʊlaq / qʊlɒq / qʊlɒq / qʊlɒq / qulaq / qulaq / qulaq / qulaq / qulaq / qulaq / qulaq / qulaq / qulaq / qulaq / qulaq / qulaq / qulaq / qulɒq / qulɒq / qulɒq / qulɒq / qulaq / qulaq / qulaq / qulaq / qulaq / qulaq / qulaq / qulɒq / qulaq / qulaq / qulaq / qulaq / qulaq / qulaq / qulaq / qulɔq / qulɒq / qulɒq / qulaq / qulɒq / qulɒq / qulɔq / qulɒq / qulɔq / qulɔq / ;guʃ / køʃ / gøʃʲ / gyʃ / gøʃ / guʃ / guʃ / guʃ / guʃ / guʃ / guʃ / guʃ / guʃ / guʃ / guʃ / guʃ / guʃ / gʉʃ / gʉʃ / guʃ / guʃ / guʃ / guːʃ / guʃ / guʃ / gʊʃ / gʊʃ / gʊʃ / gʊʃ / gʊʃ / gʊʃ / gʊʃ / gʉʃ / gʉʃ / ɣuʃ / ɣuʃ / ɣuʃ / ɣuʃ / ɣuʃ / 
eye;kwøz̥ / kwøz̥ / køz̥ / køz̥ / kwøz / kwøz̥ / kwøz̥ / kwøz / kwøz̥ / kwøz̥ / kwøz̥ / gøz̥ / gøz̥ / gøz̥ / køz̥ / køz̥ / gøz̥ / gøz̥ / gøz̥ / gøz̥ / køs / gøz / gøz̥ / køz̥ / gøz̥ / kwøz̥ / kwøz̥ / kwøz̥ / kwøz̥ / kwøz̥ / kwøz / kwøz̥ / kwøz̥ / kwøz̥ / kwøz̥ / kwøz̥ / kwøz̥ / kwøz̥ / kwøz̥ / kʉz̥ / køz̥ / køz / gøz̥ / kwʉz̥ / kwʉz̥ / kwʉz̥ / kwʉz̥ / kʉz / kʉz̥ / ;ʧaʃm / ʧaʃm / ʧaʃm / ʧaʃm̩ / ʧaʃm / ʧəʃm̩ / ʧaʃəm / ʧam / ʧeʃm̩ / ʧm̩ / ʧaʃm / ʧaʃm / ʧaʃm̩ / ʧaʃm̩ / ʧaʃm̩ / ʧm̩ / ʧm̩ / ʧiʃ / ʧiʃ / ʧaʃm̩ / ʧaʃm̩ / ʧm̩ / ʧaʃəm / ʧaʃəm / ʧaʃm̩ / ʧaʃm / ʧaʃm / ʧaʃm / ʧaʃm / ʧaʃm / ʧaʃm / ʧaʃm / ʃiːm / ʧaʃəm / ɣurda / ɣurda / ɣurda / ɣurda / ɣurda / 
nose;mʊrən / burun / mʊrʊn / mʉrʉn / mʉrən / mʊrən / mʊrən / mʉrɨn / mʊrʊn / mʉrʉn / mʊrʊn / murun / murun / murun / murun / murun / murun / murun / murun / murun / burun / burun / burun / murun / murun / mʊrʊn / mʊrʊn / mʊrʊn / mʊrən / mʊrən / mʊrən / mʊrʊn / mʊrʊn / mʊrʊn / mʊrɨn / mʊrʊn / mʉrʉn / mʊrən / mʊrən / burun / burun / burun / burun / burun / burun / bʊrʊn / bʊrʊn / burun / burun / ;bindi / bindi / binda / binda / binda / bənni / binni / bənnʲi / binʲi / bɛnni / biniː / biniː / biniː / biniː / biniː / biniː / bəniː / bindi / bindi / biniː / biniː / bəniː / binnə / biˑni / br̩nə / bɪnɪː / bɪneː / biniː / binni / bineː / binni / binniː / bindi / bindi / najs / nes / nes / najs / najs / 
mouth;awʊz̥ / awəz̥ / awz̥ / awɨz̥ / awuz̥ / awəz̥ / awz̥ / awɨz / awʊz / awɨz / awʊz / ɔːz̥ / ɔːz̥ / ɔːz̥ / ɔːz̥ / ɔːz̥ / ɔːz̥ / ɔːz̥ / ɔːz̥ / ɔːz̥ / ɔːz / ɔːz / ɔːz / lap / ɔːz / awɨz / awɨz / awʊz / aɣɜz̥ / awɨz̥ / aɣɨz̥ / awɨz̥ / awɨz / awɨz / awɨz / awɨz / awɨz / awɨz / awɨz / ɔɣəz̥ / ɔɣɨz̥ / ɔɣɜz̥ / ɔɣɨz̥ / ɔɣəz̥ / ɔɣəz̥ / ɔɣəz / ɔɣəz / ɔɣəz / ɔɣəz̥ / ;dahɔn / dahɔn / dahɔn / dahan / dahan / dahan / dahan / dahan / dahan / dahan / dahan / dahɔn / dahɔn / dahɔn / dahɔn / dahɔn / dahan / dahan / dahan / dahɔn / dahɔn / dahan / dahan / dahɔn / dahan / dahɔn / dahɔn / dahɔn / dahɔn / dahɔn / dahɔn / dahan / dahan / dahan / rax / rax / rax / rax / rax / 
tooth;tɪs / tis / tis / tis / tɪs / tɪs / tɪs / tis / tis / tis / tis / tiʃ / tiʃ / tiʃ / tiʃ / tiʃ / tiʃ / tiʃ / tiʃ / tiʃ / tiʃ / tiʃ / tiʃ / tiʃ / tiʃ / tis / tis / tɪs / tɪs / tis / tis / tis / tis / tis / tis / tis / tiʃ / tiʃ / tis / tiʃ / tɪʃ / tiʃ / tiʃ / tɪʃ / tɪʃ / tɪʃ / tɪʃ / tiʃ / tiʃ / ;dandɔn / dandɔ̃n / dandɔn / dandɔn / dandɔ̃n / dandun / dandɔ̃n / dandʊn / dandʊn / dandun / dandon / dandon / dandɔn / dandɔn / dandɔn / dandɔn / dandun / dandɔ̃n / dandɔ̃n / dandɔn / dandɔn / dandʊn / dandɔ̃n / dandɔn / dandɔn / dandɔ̃n / dandɔ̃n / dandɔ̃n / dandɔ̃n / dandɔn / dandɔ̃n / dandɔ̃n / dandɔ̃n / dandɔ̃n / dindak / dindak / dindak / dindak / dindak / 
tongue;tɪł / tɪł / tił / til / tɪł / tɪł / tɪł / tɪl / tɪl / tɪl / tɪl / til / til / til / tɪl / til / til / til / til / til / tɪl / tɪl / tɪl / tɪl / til / tɪl / tɪl / tɪl / tɪl / tɪl / tɪl / tɪl / tɪl / tɪl / tɪl / tɪl / tɪl / tɪl / tɪl / til / tɪl / tɪl / tɪl / tɪl / tɪl / tɪl / tɪl / til / tɨl / ;zabɔn / zuvɔn / zavɔn / zavɔn / zvɔ̃n / zuhun / zabɔn / zuhun / zuhun / zuhun / zabɔn / zabɔn / zabɔn / zabɔn / zabɔn / zabɔn / zəhʊn / zubɔ̃ / zubɔ̃n / zabɔn / zabɔn / zəhʊn / zabɔn / zabɔn / zabɔn / zabɔ̃n / zabɔ̃n / zabɔ̃n / zabɔ̃n / zabɔn / zabɔ̃n / zabɔ̃n / zubon / zubɔ̃n / zivɔk / zivɔk / ziβɔk / ziβɔk / zibʊk / 
nail;tɨrnaq / tɨrnaq / tərnaq / tɨrnaq / tɨrnaq / tɨrnaq / tɨrnaq / tɨrnɒq / tɨrnɒq / tɨrnɒq / tɨrnɒq / tɨrnaq / tɨrnaq / tɨrnaq / tɨrmɒq / tɨrmɒq / tɨrnaq / tɨrmaq / tɨrmaq / tɨrnaq / tɨrnɒq / tɨndaq / tɨndaq / tɨrmɒq / tɨrmaq / tɨrnɒq / tɨrnɒq / tɨrnɒq / tɨrnaq / tɨrnɒq / tɨrmɒq / tɨrnɒq / tɨrnɒq / tɨrnɒq / tɨrnɒq / tɨrnɒq / tɨrnɒq / tɨrnɒq / tɨrnɒq / tɨrnɔq / tɨrnɒq / tɨrnaq / tɨrnaq / tərnɔq / tərnɒq / tr̩nɔq / tr̩̩nɔq / nɔxun / tɪrnɔq / ;nɔxun / nɔxun / nɔxʊn / nɔxun / nɔhun / nɔxun / nɔxun / noxun / nɔxun / nɔxun / noxun / noxun / nɔxun / nɔxun / nɔxun / nɔxun / nɔxun / nɔxun / nɔxun / nɔxun / nɔxun / nɔxun / nɔxun / nɔxʊn / nɔxən / nɔxn̩ / nɔxʊn / nɔxʊn / nɔxʊn / nɔxɔn / nɔxn̩ / nɔxn̩ / nɔxun / nuxun / naxna / naxna / naxna / naxna / naxna / 
leg;ajaq / ajaq / ajaq / ajaq / ajaq / ajaq / ajaq / ajaq / ajaq / ajaq / ajaq / but / but / but / but / bʊt / but / but / but / but / pʊt / pʊt / pʊt / but / but / ajaq / ajaq / ajaq / ajaq / ajaq / ajaq / ajaq / ajaq / ajaq / ajaq / ajaq / ajaq / ajaq / ajaq / ajɔq / ajɒq / ajaq / ajaq / ɔjɒq / ɔjaq / ɔjaq / ɒjaq / ɔjɔq / ɔjɔq / ;pɔj / pɔʧa / pɔj / pɔ / pɔ / poʧik / pɔʧuk / pɔʧik / pɔʧik / pɔʧk̩ / po / pɔj / pɔ / pɔ / pɔj / pɔ / pɔ / pɔj / pɔj / pɔj / pɔj / pɔ / pɔʧik / pɔʧik / pɔʧik / pɔj / pɔj / pɔj / pɔj / pɔj / pɔ / pɔ / pɔj / pɔj / pɔda / pɔda / poda / poda / pɔda / 
knee;tizʲe / tizʲe / dzʲe / dzʲe / dzʲe / tɪze / dzʲe / tizʲe / dzʲe / tɨzʲe / tɨzʲe / tizɛ / tizʲɛ / tizɛ / tizʲɛ / tizɛ / tizʲɛ / tizɛ / tizɛ / tizɛ / tizɛ / tizɛ / tizɛ / tizɛ / tizɛ / dzʲe / dzʲe / dzʲe / tizʲe / tizʲe / tizʲe / dizʲe / dɪzʲe / dɪzʲe / dɪzʲe / dɪzʲe / tɨzʲe / dzʲe / tɨzʲe / buʤilak / tɪzza / tizza / tɨzzɐ / tɨzzɐ / tissak / tizzɐ / tizza /  / tɪzza / ;zɔnu / tizza / zɔnʊ / tizza / zɔna / zɔni / zɔni / zoni / zoni / zoni / zɔnu / zɔnu / zɔnu / zɔnʊ / zɔnʊ / zɔnʊ / zɔnɪ / buʤulak / zɔnʊ / zɔʔnʊ / zɔˑnʊ / zɔnu / zɔnʊ / zɔnʊ / zɔnə / zɔːnə / zɔnɪ / zɔːnə / zɔːnə / kaleno / zɔny / zʊna / zɔnʊ / buʤulak / zunk / zunk / zunk / zunk / zunk / 
hand;qoł / qoł / χoł / qol / qɔł / qɔł / qɔł / qɔl / qɔl / qɔl / qɔl / qɔl / qɔl / qɔl / qɔl / qɔl / qɔl / qɔl / qɔl / qɔl / qɔl / qɔl / qɔl / qɔl / qɔl / qɔl / qɔl / qɔl / qɔl / qɔl / qɔl / qɔl / qɔl / qɔl / qɔl / qɔl / qɔl / qɔl / qɔl / qʉl / qɔl / qɔl / qɔl / kwʊł / kwoł / kʊł / kʉł / qʉl / qʉl / ;dast / dast / dast / dast / dast / dest / dast / døst / dast / dɛst / dast / dast / dast / dast / dast / dast / dəst / dast / dast / dast / dast / dəst / dast / dast / dast / dast / dast / dast / dast / dast / dast / dast / dast / dast / dast / dast / dast / dast / dast / 
wing;qanat / qanat / qanat / qanat / qanat / qanat / qanat / qanat / qanat / qanat / qanat / qanat / qanat / qanat / qanat / qanat / qanat / qanat / qanat / qanat / qɒnɒt / qɒnɒt / qanat / qɒnɒt / qanat / qanat / qanat / qanat / qanat / qanat / qanat / qanat / qanat / qanat / qanat / qanat / qanat / qanat / qanat / qanɔt / qɒnɔt / qɒnɔt /  / qanɔt / qanɔt / qanɔt / qanɒt / qanɔt / qanɔt / ;qanɔt / qanɔt / qanɔq /  / qanat / qanɔt / kanɔt / qanɔt / qanɔt / qanɔt / taf / taf / taf / taf / par / par / par / dast / qanat / bɔł / taf / taf / qanɔt / qanɔt / qanɔt / qanɔt / qanɔt / qanɒt / qanɔt / qanɔt / qanɔt / qanɔt / qanat / qanat / qanat / qanat / bɔl / bɔl / bal / 
belly;qarɨn / qarɨn / qarən / qarɨn / qarɨn / qarɨn / qarən / qarɨn / qarɨn / qarɨn / qarɨn / iʧʲ  / iʧʲ / iʧʲ / iʧʲ / iʧʲ / qursaq / iʧʲ / iʧʲ / iʧʲ / kursak / qɔrɨn / qɔrɨn / aʃkazan / iʧʲ / qarɨn / asɣazan / asxazan / qarɨn / qarɨn / qarɨn / qarɨn / qarən / qarɨn / qarɨn / qarɨn / qarɨn / qarən / qarən / qɔrən / qɔrən / qɔrən / qɔrən / qɔrən / qɔrɨn / qɔrɪn / qɔrɨn / qɔrɨn / qɔrən / ;iʃkam / ʃkam / iʃkam / iʃkam /  / ʃkam / ʃkam / ʃkam / ʃkam / ʃkam / ʃɪkam / ʃɪkam / ʃikam / ʃikam / ʃikam / ʃkam / ʃkam / iʃkam / iʃkam / iʃkam / ʃikam / ʃkam / iʃkam / iʃkam / iʃkam / iʃkam / iʃkam / ʃkam / iʃkam / ʃkam / ʃkam / iʃkam / iʃkam / iʃkam / dara / dara / dara / dara / dara / 
neck;mɔjɪn / mɔjɪn / mɔjin / mɔjɪn / mɔjin / mɔjin / mɔjin / mɔjɪn / mɔjɨn / mɔjɨn / mɔjɨn / mɔjɨn / mɔjɨn / mɔjɨn / mɔjɨn / mɔjʉn / mɔjɨn / mɔjɨn / mɔjɨn / mɔjɨn / bɔjɪn / bɔjɪn / bɔjɪn / mɔjɪn / mɔjɨn / mɔjɪn / mɔjɪn / mɔjɪn / mɔjɨn / mɔjɨn / mɔjɨn / mɔjɨn / mɔjɪn / mɔjɪn / mɔjɪn / mɔjɪn / mɔjɪn / mɔjɪn / mɔjɪn / bʉjin / bujin / bujin / bʊjin / bʊjin / bʊjin / bʊjin / bʊjin / bʉjin / bujin / ;gardɔn / gardan / gardan / gardan /  / gardan / gardɔn / gardan / gardan / gardan / gardan / gardan / gardan / gardan / gardan / gardan / gardan / gardan / gardan / gardan / gardan / gardan /  / gardan / gardan / gardan / gardan / gardan / gardan / gardan / gardan / gardan / gardan / gardan / kama / kama / kama / kama / kama / 
back;arqa / arqa / ʒawrn / bʲɪl / arqa / arqa / arqa / arχa / arχa / arqa / arqa / bʲel / dɒlɨ / bʲel / dalɨ / arqa / bʲel / bʲel / dalɨ / dalɨ / bʲel / bʲɪl /  / kyløk / dalɨ / arqa / arqa / ʒawɔrɨn / ʤawɔrən / arqa / arqa / arχa / ʒawɔrən / arχa / arqa / arqa / arχa / arqa / arqa / bʲel / bʲel / bʲel / bʲel / bʲel / bʲel / bʲɪl / bʲel / bʲɛl / ɔrqa / ;puʃt / taxtapyst / mijɔn /  / taxtapuʃt / mijun / mijun / mijɔn / mijɔn / mijun / mijun / puʃt / mijʊn / puʃt / puʃt / puʃt / pəʃt / mijɔn / puʃt / puʃt / puʃt / mijʊn / mijɔn / mijɔn / taxtapyʃt / pɪʃt / pʉʃt / pʉʃt / taxtapuʃt / mijɔn /  /  / puʃt / taxtapyʃt / arqa / arqa / arχa / arqa / arqa / 
breast;jimʃik / jimʃik / jimʃi / kukrɨk / kʊkrɪk / køkrʲek / dʲenʲe / jɪmʃɪk / kukrøk / kʊkɨrʲek / kʊkrɛk / jɪmʧɛk / jɪmʧek / jemʧɪk / ɪmʧek / jɛmʧek / jɪmʧɪk / jɪmʧek / kukrøk / jɛmʧek / køkrøk / køkrɛk / emʧɛk / ɛmʧek / emʧɛk / kukrøk / jɪmʃɪk / jɪmʃɪk / jemʧɛk / jɪmʃɛk / kʊkrøk / køkrɛk / jemʃɛk / kukrøk / jɪmʃɪk / kukrøk / jɪmʧɪk / jɪmʧɪk / jɪmʧɪk / ɛmʧak / emʧak / ɛmʧæk / kʉkræk / kʉkrak / kʊkrak / kʊkrak / kʊkrak / imʧak / kʉkrak / ;siːna / køkrak / kukraq / køkraq / sina / qʊqrak / sina / kukrak / quqrak / sina / sina / sina / sina / sina / sina / sina / sina / siˑna /  / sina / sina / sina / siːna / kukrak / sina / sina / sina / siːna / siːna / siːna / siːna / siːna / kʉkrak /  / siːna / siːna / siːna / siːna / siːna / 
heart;ʒʉrɪk / ʒʲʉrøk / ʒʲʉrøk / ʒʉrɪk / ʒyrek / ʒʉrek / ʒʉrek / ʒʉrøk / ʒyrøk / ʒʉrʲek / ʒyrʲøk / ʤyrøk / ʤyrøk / ʤyrøk / ʤyrøk / ʤyrøk / ʤyrøk / ʤyrøk / ʤyrøk / ʤyrøk / ʒyrøk / ʒyrøk / ʒyrøk / ʒyrøk / ʤyrøk / ʒyrøk / ʒyrøk / ʒyrøk / ʤyrøk / ʒʉrek / ʒʉrøk / ʒyrøk / ʒyrøk / ʒyrøk / ʒyrøk / ʒʉrøk / ʤyrøk / ʤyrøk / ʤyrøk / jʊrak / jyrak / jyræk / jyrak / jʉrak / jyrak / jʉrak / jʉrak / jurak / jʊrak / ;dil / dil / dil / dil / dil / dil / qal / dil / d̥il / dil / dil / dil / dil / dil / dil / dl̩ / dl̩ / dil / dil / dil / dil / dl̩ / dil / dɪl / dɪl / dil / dil / dil / dil / dil / dil / dil / dil / dil / dɪl / dɪl / dil / dɪl / dɪl / 
liver;bɒwər / bawr / bawr / bawr / bawər / bawər / bawər / bawɨr / bawɨr / bawɨr / bawʊr / bɔːr / bɔːr / bɔːr / bɔːr / bɔːr / bɔːr / bɔːr / bɔːr / bɔːr / bɔːr / bøjrɛ / ʤigar / bɔːr / bɔːr / bawʊr / bawʊr / bawʊr / bawər / bawər / ʤigar / bawɨr / bawɜr / bawr / bawɜr / bawʊr / bawʊr / bawr̯ / bawɨr / ʤigar / ʤigar / ʤigar / ʤigar / ʤigar / ʤigar / ʤigar / ʤigar / ʤigar / ʤigar / ;ʤigar / ʤigar / ʤigar / ʤigar / ʤʲigar / ʤigar / ʤigar / ʤigar / ʤigar / ʤigar / ʤigar / ʤigar / ʤigar / ʤigar / ʤigar / ʤigar / ʤigar / ʤigar / ʤigar / ʤigar /  / ʤigar / ʤigar / ʤigar / ʤigar / ʤigar / ʤigar / ʤigar / ʤigar / ʤigar / ʤigar / ʤigar / ʤigar / ʤigar / ʤigar / ʤigar / ʤigar / ʤigar / ʤigar / 
to drink;iʃʲu / iʃ / iʃu / su / ɪsu / iʃu / iʃu / iʃʊ / iʃem / iʃʊː / iʃʊː / iʧ / iʧ / iʧ / iʧyː / iʧyː / iʧyː / iʧ / iʧyː / iʧyː / iʧiʃ / iʧɛm / iʧ / iʧ / iʧ / iʃʊ / iʃʊ / iʃʊ / iʃjeʊ / iʃjeʊ / iʃjeʊ / iʃjeʊ / iʃʊ / iʃʲʊ / iʃʊ / iʃʊ / iʧʊː / iʧʊː / iʃʊ / iʧiʃ / iʧiʃ / iʧmɔq / iʧiʃ / iʧiʃ / iʧmɔq / iʧiʃ / iʧmɔq / iʧiʃ / iʧmɔq / ;nuʃidan / nøstan / kørdan / nøʃtan / nøstan / nuʃidan / nuʃit / nuʃit / nuʃidan / xurdan / nuʃidan / nuʃidan / nʉʃidan / nuʃidan / nuʃidan / nuʃidan / nuʃidan /  / xʉrdan / nuʃidan / ɔbburdan / xurdan / nuʃidan / nuʃidan / nuʃidan / nʊʃidan / nuʃidan / nʊʃidan / nuʃidan / nuʃidan / nuʃidan / nuʃidan / nʉʃidan / nʉʃtan / ʒaβak / ʒaβ / ʒaβak / ʒaβak / ʒaβak / 
to eat;ʒʲɪw / ʒʲɪw / tamaxtanu / ʒʲew / ʒɪʊ / ʒɪʊ / ʒɪu / ʒɪʊ / ʒim / ʒɪʊ / ʒɪʊ / ʤʲeː / ʤɛ / ʤɛ / ʤɛ / ʤʲɛ / tamaqtanʊ / ʤʲe / ʤʲe / ʤʲøː / tamaqtanɪʃ / tamaqtanam / tamaqtan / ʤe / ʤɛ / ʒɪʊː / ʒɪʊː / ʒɪʊː / ʤiʊ / ʒʲeʊ / ʤiʊ / ʒjiʊ / ʒɪʊ / ʒɪʊː / ʒɪʊː / ʒɪʊː / ʤɪʊ / ʤɪʊ / ʒɪʊ / jejiʃ / jejiʃ / jemɔq / jejiʃ / jemɔq / jɪmɔq / jɪiʃ / jɪmɔq / jejiʃ / jemɔq / ;xurdan / xørdan / kørdan / guʃnagi / xørdan / xurdan / xurdan / mixran / xʊrdan / xurdan / xʊrdan / xurdan / xʊrdan / xurdan / xurdan / xurdan / xurdan / xʉr / xʉrdan / xurdan / xurdan / xurdan / xurdan / xurdan / xʊrdan / xʊrdan / xʉrdan / xʊrdan / xurdan / xʊrdan / xʊrdan / xʊrdan / xʉrdan / xʉrdan / xwarak / xwar / xwarak / xwarak / xwarak / 
to bite;təstʲɪw / ʃajna / tɪstʲew / tɪstʲju / tɪstʲew / ʃajnaw / tɪstʲew / ʃajnaʊ / stim / tɨsteʊ / tɪsteʊ / tiʃtøː / tiʃtøː / tiʃtøː / tiʃtøː / tiʃtøː / tiʃtøː / tiʃtøː / tiʃtøː / tiʃtøː / tiʃtiʃ / tiʃtɛt / ʧaɣat / tistʲe / tiʃtɛ / tɪsleʊ / tɪstʲeʊ / tɪstʲeʊ / tistʲeʊ / asaʊ / tislʲeʊ / tɨʃlʲeʊ / tɪslʲeʊ / tɪsteʊ / tɨsleʊ / tɪsleʊ / tɪʃleʊ / tɪʃleʊ / tɪsleʊ / tʃlaʃ / tiʃla / tiʃlamɔq / tiʃlaʃ / tɪʃlaʃ / tɪʃlamɔq / tɪʃlamɔq / tɪʃlamɔq / tiʃlaʃ / tʃlamɔq / ;gazidan / gazidan / gazdan / gazdan / xojdan / gazidan / gazidan / megazan / gazidan / gazidan / gazidan / gazidan / gazidan / gazidan / gazidan / gazidan / gazidan / gaz̥ / gæzidan / gazidan / gazidan / gazidan / gazidan / gazidan / gazidan / gazɪ / gazidan / gazidan / gazidan / gazidan / gazidan / gazidan / gazdan / gazdan / xɪʃojak / xɪʃoj / xɪʃojak / xɪʃojak / xɪʃojak / 
to suck;sɔrʊ / ʒʉt / jemu / soru / soru / sɔru / sɔru / sɔrʊː / sɔrɔm / sɔrʊː / sɔrʊː / sɔrʊː / sɔrʊː / sɔrʊː / sɔrʊː / sɔrʊː / sɔrʊː / sɔrʊː / sɔrʊː / sɔrʊː / emiʃ / sʊrɔn / sʊr / ʃimɪʃ / sɔr / sɔrʊː / sɔrʊː / sɔrʊː / sorʊː / sɔrʊː / sɔrʊː / sɔrʊː / sɔrʊː / sɔrʊː / sɔrʊː / sɔrʊː / sɔrʊː / sɔrʊː / sɔrʊː / sʉriʃ / sʊriʃ / sʊrmɔq / sɔrɪʃ / sʉrmɔq / sʉrmɔq / sʊrmɔq / sʉrmɔq /  / sʉrmɔq / ;makidan / markidan / makidan / makkian / makidan / makidan / makidan / mimakan / makidan / makidan / makidan / makidan /  / makidan / makidan / makidan / makidan / mak / makidan / makidan / makidan / makidan / makidan / makidan / makɪdan / makidan / makidan / makidan / makidan / makidan / makidan / makidan / makidan / makidan / zʊmakak / zamakak / zʊmakak / zɪmakak / zɪmakak / 
to spit;tkəru / tʉkʉr / tkʊrʊ / tʉkəru / tkʊrʊ / tkʊrʊ / tkʊrʊ / tʉpʉrʊː / tʉpyrʊː / tøkørʊː / tkʊrʊː / tykyryː / tykyryː / tykyryː / tʉkʉyryː / tykyryː / tykyryː / tykyryː / tykyryː / tykyryː / typyryʃ / typyrən / tykyrət / typørɪʃ / tʉkyr / tɨpɨrʊ / tkʊrʊ / tpʊrʊ / tykʉrʊː / tʉkʉrʊː / tʉpʉrʊː / tʉpʉrʊː / təpʉrʊ / tprʊ / tɨprʊ / tɨkʊrʊ / təpʉrʊ / tʉpʉrʊ / tʉpʉrʊ / tupəriʃ / tʊpʊrə / typyrmɔq / tʉpʉrɪʃ / tʉpʉrmɔq / tʉfʉrmɔq / tpr̩mɔq / tpr̩mɔq / tuflaʃ / tupurmɔq / ;tuf /  / tuf / tuf / tuf / tuf / tuf / tuf / tuf / tuf / tuf / tf / tʊf / tuf / tuf / tuf / tuf / tuf / tuf / tuf / tuf / tf̩ / tuf / tuf / tuf / tf̩ / tf̩ / tf̩ / tuf / tf̩ / tf̩ / tf̩ / təf / tuf / tuf / tuf / tufi / tuf / tufi / 
to blow;ʉrlʲəw / ʉrlʲɪw / ʉrlʲew / ʉrlʲju / ʉrlʲew / ʉrlʲew / ʉrlʲew / ʉrljəʊ / ʉpljem / yrljʊ / ʉplʲeʊ / yjløː / yjløː / yjløː / yjløː / yjløː / yjløː / yjløː / yjløː / yjløː / pyløʃ / pydɛm /  /  / yjløː / yfləʊ / yfləʊ / yfləʊ / ʉfleʊ / ʉplʲeʊ / ʉplʲʊ / ʉpljeʊ / ʉflʲeʊ / ʉfleʊ / yfləʊ / yfləʊ / ʉfləʊ / ʉfləʊ / ʉfləʊ /  / pʊfla / pʉjdamɔq / pʉjdaʃ / pf̩laʃ / pf̩lamɔq / pf̩laʃ / pf̩lamɔq / puflaʃ / pflamɔq / ;puf / puf / puf /  / huf / puf / puf /  / puf / puf / puf / puf / pʊf / puf / puf / puf / puf / puf / puf / dut / havo / puf / puf / puf / pf̩ / pf̩ / pf̩ / pf̩ / puf / pʊf / pf̩ / puf / pəf / pf / haβɔ / puf / pufi / puf / puf / 
